BEZ235,GDC0941,MK2206,GSK2334470,Rapamycin,Ku-0063794,CHIR-99021,Sorafenib,PLX4720,Trametinib/DMSO,Erlotinib,Gefitinib,Lapatinib,NVP-TAE684,R428,BMS536924,BMS754807,NVP-AEW541,GSK-1838705A,OSI-906,Vatalanib,Tandutinib,Su6668,Sunitinib,Imatinib,Paclitaxel,Pemetrexed,Carbo plantin,Gemcitabine,Etoposide,Ruxolitinib,PF-573228,Sch727965,VX680,Dasatinib
-0.035804054,-0.008383314,0.021899093,-0.031991736,0.006926957,-0.099736026,-0.042481684,0.186993204,-0.122365585,0.021838892,0.09663745,0.008714706,-0.096079047,-0.034222278,0.057289818,0.026239693,-0.048940244,-0.081071903,0.172164604,-0.038590522,0.04309413,-0.136117678,-0.059364845,-0.023844402,0.020329801,0.000122889,-0.042844178,-0.006738038,-0.014636995,-0.013867484,0.081260655,0.01648078,-0.067691837,-0.282566404,0.128580504
-0.038157512,-0.12932389,-0.02797573,-0.096772963,-0.118173772,-0.036308249,0.206935446,-0.054145513,-0.086698449,-0.410765491,-0.067018512,0.024876667,0.0780452,-0.090742404,0.009997846,0.110203894,0.06103034,0.157344521,0.072073199,0.104463107,0.000668392,0.035564889,-0.066178308,0.020122497,0.017406948,0.110184075,0.057937176,-0.036334017,0.06144208,0.055048834,-0.063601026,-0.116685479,0.248798685,-0.000575584,-0.270020727
-0.635417907,-0.287438462,-0.044847871,-0.159401048,-0.435958377,-0.635523488,0.151781284,-0.076107805,-0.105279567,-0.353229179,-0.026784103,-0.012931591,0.249731214,-0.120160264,0.134568546,-0.12431764,-0.036386669,0.043191073,-0.07585731,0.117005571,0.070815809,0.180407853,-0.115078056,0.00381247,0.115456105,0.312678764,0.09027583,0.013498177,0.196841039,0.153467134,-0.097690319,-0.081176828,0.545968139,-0.067727518,-0.4546809
0.031534808,-0.097288163,0.013505219,-0.055949294,-0.167379153,-0.075699126,-0.096367117,-0.097827357,0.026746055,0.020743264,-0.00898136,-0.019629917,0.016186607,0.041870715,0.059410796,-0.079710898,-0.061935673,-0.048208325,-0.04405293,0.04019028,-0.003223264,-0.038825643,-0.088985213,-0.02179503,-0.024123262,-0.155353635,0.030330107,-0.05617179,0.038229321,-0.013915428,-0.001651963,0.014077002,-0.498290857,-0.016707103,-0.100869599
0.40390131,0.188010781,0.026239481,0.036220287,0.237107433,0.37582222,-0.12020267,0.006263813,-0.129358908,-0.253151344,0.058980307,0.007571983,0.00089909,0.064891008,-0.110567935,0.144052886,0.055106749,-0.03463222,0.025165958,-0.073170004,0.060561327,-0.035958665,0.216910851,-0.014988793,-0.04453313,-0.142809329,0.153447584,-0.02325681,0.020987603,0.019776469,-0.050875455,0.022369332,-0.147010661,-0.119305981,0.945159387
-0.197533025,-0.098238697,-0.151573408,-0.139655712,0.109988634,-0.206250062,-0.066497297,0.168475269,-0.046895572,0.206026337,0.105686212,0.09436207,0.099310023,0.122127036,0.054436044,0.037988218,0.002437997,0.045436302,0.017882713,0.090951328,0.078167215,0.011637107,-0.003567146,0.017084611,0.014645999,-0.073975276,0.101667754,-0.009159653,0.089049511,0.031699394,0.129183478,0.081032752,0.529118921,0.108772443,0.107076189
0.171537296,0.174528565,0.153429876,0.173809192,0.146821098,0.111489719,-0.122761472,-0.044875988,-0.241492923,0.031724694,0.069266002,-0.050166198,-0.065768053,0.116329623,0.060097808,0.042467207,-0.06510521,-0.141666402,-0.029633925,-0.043530053,0.01316921,-0.116252759,-0.096349325,0.023028417,-0.063917667,-0.207000371,0.035383406,0.005902751,-0.001654787,-0.05635854,0.035535165,0.153012722,0.210662873,-0.092126766,0.17851858
0.158190053,0.008433296,0.003415491,0.114152533,0.09708653,0.034993163,-0.187547979,0.007387856,0.422399512,0.470631039,0.029716865,-0.047225076,-0.041057857,-0.034717843,-0.03720203,0.320641268,0.208020009,0.307147519,0.19056148,0.196792866,-0.036670371,-0.006509111,0.090193334,-0.004564254,0.090553959,0.118709054,0.059360262,0.064939779,0.119750381,0.026866743,0.084415199,0.058293615,0.043119773,0.211155233,0.051708943
0.058665304,0.102500372,0.059761212,0.121631202,0.124319211,0.019983755,-0.179081425,0.059567741,-0.173595602,-0.40957555,-0.033956881,0.046428607,-0.000414066,0.091907316,-0.01645972,-0.129365194,-0.066007354,-0.054985081,-0.052074043,-0.114906262,0.017591046,-0.053191299,-0.010006113,0.0316478,-0.048194284,-0.24710673,-0.157041621,0.011392099,-0.19636972,-0.19872958,-0.095147575,-0.05080428,-0.046223293,-0.165901524,-0.100147368
0.072585743,0.168480588,0.114636827,0.007309825,0.181948007,0.28587485,-0.002789995,0.117231547,0.024005287,0.136576129,0.028414638,0.061738985,-0.140977797,0.103199235,-0.01422512,0.051089434,-0.076277705,-0.028015911,0.032624551,0.007984227,0.118407065,0.051247421,0.018916966,0.050463594,0.046315433,-0.068792733,0.093483338,0.019229307,0.083468106,0.089843451,0.08863012,0.151572609,0.096615241,-0.07768433,0.203046911
0.137626564,0.229950888,-0.072010697,0.049028361,0.20106622,0.512431899,-0.249184517,0.023961113,0.185179097,0.866271558,0.091872208,0.000901497,-0.153233681,0.144885451,-0.222730765,0.115909788,0.020498907,-0.083970676,0.062291768,-0.065463224,0.063186621,-0.020817481,-0.067187489,0.019764604,-0.067061025,-0.016936321,0.117862341,-0.002443308,0.097325133,0.092764405,0.049687614,0.220770958,0.039438038,0.083931042,0.395820254
